Time_Taken,Extinguisher_Used,Incorrect_Actions,Aiming_Accuracy,Distance_From_Fire,Assessment_Time,Movement_Speed,High_Temp_Time,Outcome
55,10,5,0.94,2.3,7,0.7,35,1
54,10,2,0.35,3.3,13,0.6,15,1
60,10,10,0.35,3.8,11,1.1,34,0
40,10,0,0.32,4.8,15,0.9,21,1
52,10,4,0.93,2.7,8,1.0,34,1
60,10,10,0.4,3.9,5,1.4,55,0
49,10,10,0.48,4.0,14,0.5,34,1
41,10,5,0.96,4.1,13,0.5,28,1
37,10,0,0.99,3.6,12,1.4,9,1
50,10,8,0.83,2.6,13,1.1,10,1
45,10,4,0.79,2.9,12,0.5,17,1
45,10,8,0.33,2.0,14,0.4,18,1
38,10,5,0.9,3.1,6,1.0,14,1
37,10,6,0.89,3.6,15,1.5,9,1
57,10,2,0.42,1.8,12,0.4,34,1
49,10,2,0.51,1.5,9,0.7,18,1
58,10,10,0.97,3.0,15,0.7,18,1
37,10,10,0.83,3.6,10,1.3,19,1
60,10,0,0.36,4.4,9,1.2,31,0
39,10,7,0.88,4.1,6,1.4,23,1
55,10,5,0.35,2.0,5,1.2,5,1
55,10,7,0.58,3.2,15,0.4,37,1
41,10,9,0.43,3.3,15,0.5,25,1
60,10,8,0.64,4.4,13,1.0,38,0
40,10,1,0.62,1.3,14,0.4,20,1
50,10,6,0.46,3.5,14,0.5,27,1
54,10,8,0.73,2.1,5,1.4,27,1
40,10,5,0.64,4.4,5,0.7,5,1
47,10,5,0.77,2.0,6,1.3,30,1
38,10,0,0.37,3.3,6,0.8,23,1
33,7.0,8,0.69,2.1,14,1.5,6,1
39,10,0,0.39,3.3,15,1.0,6,1
53,10,4,0.93,3.6,6,0.5,25,1
36,9.4,9,0.92,3.9,15,0.4,9,1
46,10,10,0.91,4.4,15,1.0,6,1
32,8.0,6,0.67,2.1,15,1.1,15,1
60,10,9,0.74,3.3,9,0.6,17,0
45,10,5,0.89,4.7,12,0.8,29,1
55,10,0,0.36,4.4,7,1.1,36,1
42,10,9,0.57,3.4,11,0.8,9,1
60,10,2,0.92,2.4,6,0.7,32,1
39,10,2,0.91,4.7,14,0.9,8,1
42,10,0,0.81,2.7,7,1.1,26,1
53,10,1,0.86,3.6,9,1.4,18,1
60,10,6,1.0,1.8,14,0.9,30,1
60,10,0,0.86,4.1,10,0.4,20,0
60,10,6,0.78,2.1,10,1.1,41,0
32,9.7,1,0.74,3.7,10,0.6,12,1
37,9.3,6,0.58,2.0,14,0.6,12,1
34,10,0,0.44,1.1,6,1.1,14,1
50,10,4,0.49,2.7,7,0.5,10,1
60,10,9,0.58,2.7,11,1.2,18,0
56,10,0,0.61,4.9,5,0.7,21,1
60,10,3,0.8,4.9,14,1.0,29,0
60,10,4,0.88,3.6,8,0.5,12,0
49,10,6,0.62,2.2,5,1.3,28,1
39,10,6,0.37,4.3,7,1.0,32,1
49,10,1,0.69,4.4,5,0.5,25,1
45,10,9,0.55,4.9,7,1.0,22,1
60,10,6,0.5,4.1,14,0.9,14,0
59,10,4,0.93,3.0,9,1.2,7,1
56,10,2,0.92,4.3,9,0.7,26,1
60,10,0,0.44,2.7,11,1.3,9,0
38,10,7,0.4,1.9,15,0.3,16,1
38,10,8,0.75,4.6,11,0.7,18,1
34,10,9,0.53,3.8,5,0.5,24,1
35,10,3,0.43,4.2,6,0.4,13,1
60,10,7,0.33,2.5,10,0.5,34,1
50,10,6,0.57,3.7,15,0.5,19,1
52,10,10,0.93,1.3,15,1.4,11,1
49,10,1,0.67,1.3,10,1.4,36,1
37,10.0,1,0.97,1.5,11,0.5,12,1
60,10,2,0.53,4.3,8,1.5,7,0
46,10,5,0.5,2.8,14,1.4,12,1
52,10,4,0.83,3.5,15,0.9,10,1
32,8.5,8,0.94,1.5,10,1.1,17,1
60,10,7,0.39,3.8,10,0.9,35,0
45,10,9,0.82,4.4,9,1.1,35,1
42,10,5,0.36,3.9,12,0.8,11,1
41,10,7,0.32,3.3,5,0.5,19,1
36,9.2,9,0.65,1.7,15,0.9,19,1
58,10,1,0.9,2.9,12,0.8,43,1
45,10,0,0.73,3.1,6,1.1,30,1
42,10,10,0.7,5.0,14,0.9,13,1
35,10,8,0.47,2.3,9,1.5,21,1
40,10,4,0.8,1.8,7,0.4,21,1
60,10,10,0.62,1.6,7,0.6,52,0
31,10,6,0.93,1.3,5,1.4,18,1
47,10,9,0.34,4.9,12,0.5,14,1
60,10,5,0.87,1.8,6,1.3,54,1
60,10,6,0.72,2.4,11,0.3,9,0
37,10,5,0.39,2.7,10,0.8,15,1
49,10,10,0.87,1.1,8,1.2,19,1
48,10,8,0.43,4.5,13,1.2,29,1
35,10,1,0.71,4.4,10,1.2,5,1
43,10,6,0.4,1.3,6,0.3,11,1
33,8.0,7,0.65,2.0,13,0.8,13,1
51,10,8,0.73,4.4,12,1.4,25,1
60,10,10,0.33,2.8,6,0.5,12,0
60,10,10,0.65,3.7,6,0.5,53,0
47,10,1,0.41,1.6,10,0.8,25,1
46,10,6,0.56,2.3,15,1.0,6,1
42,10,0,0.7,1.8,7,0.6,18,1
36,8.8,0,0.38,3.8,13,0.9,7,1
55,10,10,0.43,3.3,6,1.3,28,1
56,10,1,0.52,3.8,9,1.4,17,1
53,10,3,0.93,1.9,13,0.9,9,1
54,10,2,0.36,4.6,6,0.7,43,1
53,10,6,0.7,3.8,11,0.6,14,1
36,10,7,1.0,4.2,10,1.0,17,1
60,10,4,0.4,3.5,5,0.7,36,0
32,10,2,0.68,4.2,6,1.1,15,1
58,10,8,0.41,2.2,14,0.9,22,1
60,10,6,0.64,3.8,14,1.5,18,0
32,8.7,4,0.74,1.6,12,0.9,19,1
34,10,1,0.4,1.6,7,0.9,12,1
53,10,5,0.87,3.5,12,1.1,18,1
60,10,7,0.33,3.9,6,0.5,49,0
34,9.7,3,0.96,2.6,11,0.3,12,1
60,10,5,0.96,3.7,15,1.1,30,0
52,10,8,0.91,3.5,9,0.8,20,1
60,10,5,0.72,1.3,6,0.7,11,0
60,10,10,0.98,1.2,7,0.5,46,0
41,10,10,0.56,2.6,6,0.5,5,1
54,10,6,0.96,2.0,7,0.8,33,1
49,10,8,0.34,4.7,8,0.8,19,1
60,10,4,0.77,4.5,9,0.8,23,0
58,10,2,0.39,2.4,5,0.5,39,1
47,10,6,0.51,1.9,9,0.6,14,1
56,10,10,0.42,1.3,10,0.9,40,1
45,10,4,0.38,1.7,15,1.0,15,1
50,10,2,0.88,4.6,13,0.8,20,1
38,10,0,0.81,2.5,14,0.7,23,1
52,10,9,0.82,1.3,9,0.7,10,1
50,10,8,0.39,4.5,10,1.1,30,1
50,10,8,0.87,3.3,9,0.8,29,1
44,10,10,0.38,1.3,11,1.1,14,1
60,10,8,0.58,2.8,15,1.4,5,0
60,10,3,0.79,3.9,9,1.0,31,0
59,10,6,0.68,3.7,8,0.3,22,1
31,8.7,3,0.61,4.5,10,0.8,19,1
59,10,6,0.42,1.9,5,0.8,42,1
60,10,10,0.79,1.6,6,1.2,26,0
35,9.2,4,0.66,1.6,13,0.6,8,1
55,10,10,0.97,2.8,15,1.2,20,1
34,10,7,0.89,2.0,9,1.1,25,1
40,10,3,0.7,1.6,10,0.3,9,1
37,8.9,4,0.87,3.2,15,1.0,19,1
57,10,4,0.32,2.4,6,1.4,5,1
60,10,6,0.6,2.5,10,1.3,47,0
55,10,6,0.64,3.7,6,1.2,14,1
55,10,1,0.68,3.2,11,0.3,25,1
60,10,1,0.53,2.8,9,0.8,5,0
60,10,8,0.91,1.7,10,0.3,30,0
54,10,3,0.38,2.1,5,0.3,38,1
37,10,4,0.42,4.6,14,0.4,21,1
60,10,6,0.31,4.3,5,0.5,19,0
60,10,5,0.93,3.0,10,1.1,30,0
60,10,3,0.92,4.8,7,0.4,44,0
45,10,1,0.66,4.8,15,1.3,20,1
45,10,9,0.49,1.5,6,0.3,36,1
52,10,7,0.52,3.7,14,0.5,22,1
40,10,7,0.31,4.7,10,1.5,7,1
60,10,5,0.51,1.9,8,1.5,8,0
39,10,10,0.68,1.2,8,0.7,24,1
60,10,3,0.45,2.9,13,1.2,14,0
30,6.6,4,0.66,2.1,13,1.4,10,1
60,10,3,0.74,1.1,7,0.5,24,0
32,10,8,0.39,4.9,8,1.3,11,1
36,10,6,0.34,1.2,8,1.4,27,1
37,10,2,0.88,1.2,15,0.6,18,1
60,10,2,0.4,2.5,9,1.1,31,0
38,10,10,0.73,1.9,13,1.2,21,1
45,10,8,0.87,1.9,12,1.4,28,1
59,10,5,0.89,2.2,5,0.4,5,1
60,10,2,0.54,2.6,9,1.5,7,0
59,10,6,0.54,3.6,7,0.5,41,1
60,10,2,0.5,1.1,9,1.5,23,0
60,10,8,0.46,2.2,11,1.1,6,0
52,10,9,0.94,3.5,8,1.0,34,1
40,10,1,0.78,2.9,9,1.4,29,1
31,8.0,0,0.82,3.0,13,1.4,14,1
35,10.0,10,0.32,4.3,10,0.7,10,1
59,10,5,0.47,3.7,11,0.3,35,1
49,10,9,0.59,4.6,5,0.3,42,1
50,10,0,0.66,1.5,10,1.2,7,1
60,10,3,0.88,4.5,8,1.1,45,0
49,10,3,0.78,5.0,7,1.2,17,1
34,9.1,9,0.31,3.0,14,1.1,16,1
60,10,8,0.6,3.0,12,0.6,6,0
35,9.3,4,0.75,3.7,15,1.0,8,1
58,10,5,0.43,3.7,6,1.4,10,1
60,10,6,0.75,2.1,9,0.6,40,0
60,10,9,0.39,2.6,8,0.7,23,0
55,10,3,0.56,1.5,11,0.3,5,1
32,8.4,1,0.55,1.7,14,0.4,12,1
42,10,1,0.74,2.2,9,1.4,21,1
47,10,2,0.3,4.6,7,0.5,40,1
38,10,4,0.57,4.0,15,0.7,15,1
32,8.2,3,0.68,2.5,15,0.3,16,1
46,10,0,0.93,2.6,6,1.4,14,1
45,10,3,0.54,1.3,6,0.8,11,1
57,10,3,0.4,2.5,8,1.2,28,1
36,10,8,0.34,2.3,5,1.2,11,1
60,10,2,0.95,4.3,10,1.2,5,0
60,10,0,0.64,3.0,10,0.4,34,0
60,10,6,0.86,1.3,7,0.5,51,0
60,10,9,0.84,4.0,5,1.0,19,0
60,10,10,0.4,3.8,5,1.5,26,0
31,9.2,8,0.51,2.0,7,1.2,21,1
46,10,4,0.51,1.8,15,1.4,13,1
30,9.3,0,0.68,2.5,6,0.7,18,1
60,10,8,0.31,3.9,9,0.7,46,1
34,9.2,10,0.91,1.4,13,0.4,5,1
52,10,9,0.89,2.5,6,0.5,41,1
57,10,1,0.36,2.4,9,0.9,14,1
48,10,10,0.98,4.4,14,0.7,7,1
60,10,4,0.72,2.2,5,0.6,13,0
36,10,6,0.8,1.7,7,0.7,12,1
46,10,7,0.96,4.0,7,1.1,17,1
60,10,10,0.81,2.0,11,0.7,31,0
60,10,9,0.61,3.8,6,0.8,43,0
51,10,6,0.45,2.1,14,0.9,10,1
42,10,6,0.55,1.7,6,1.2,13,1
60,10,6,0.51,1.0,7,1.4,22,0
48,10,4,0.52,3.6,6,1.4,25,1
44,10,8,0.63,2.3,10,1.3,22,1
38,10,10,0.41,1.2,11,0.9,21,1
52,10,8,0.42,1.2,8,1.1,10,1
56,10,3,0.7,2.2,5,1.4,20,1
60,10,0,0.41,1.6,15,1.3,45,0
45,10,10,0.71,4.8,9,0.8,25,1
60,10,9,0.35,1.8,9,1.1,49,0
57,10,0,0.49,1.4,7,0.6,29,1
35,10,0,0.37,4.6,7,0.7,17,1
41,10,10,0.91,1.3,7,0.7,30,1
60,10,8,0.95,1.1,12,0.4,19,0
58,10,0,0.44,2.2,12,0.4,42,1
37,10,5,0.73,2.5,12,1.5,25,1
58,10,0,0.52,3.2,8,1.3,12,1
60,10,4,0.57,4.4,12,1.3,30,0
60,10,1,0.43,4.5,14,1.1,15,1
47,10,6,0.76,2.2,15,1.2,20,1
34,10,0,0.64,2.8,5,1.3,6,1
48,10,3,0.75,4.5,14,0.3,27,1
60,10,6,0.71,3.4,6,1.0,14,0
49,10,4,0.37,4.9,11,1.3,10,1
48,10,6,0.85,2.6,8,1.4,20,1
48,10,3,0.65,2.8,6,1.4,38,1
51,10,6,0.39,3.4,13,0.7,11,1
59,10,4,0.39,2.7,5,1.5,19,1
56,10,8,0.9,2.0,9,1.2,38,1
54,10,3,0.79,1.6,11,1.0,12,1
46,10,6,0.89,3.7,5,1.1,7,1
50,10,3,0.86,4.1,13,1.1,25,1
41,10,9,0.69,1.5,11,1.3,10,1
46,10,8,0.3,4.6,14,1.4,14,1
42,10,1,0.65,4.7,8,1.0,24,1
49,10,9,0.64,1.8,15,0.8,31,1
33,10,2,0.36,2.4,5,1.1,20,1
60,10,1,0.77,3.1,13,1.5,8,0
56,10,4,0.73,3.9,11,1.3,16,1
33,10,6,0.3,2.3,8,1.2,9,1
54,10,2,0.8,1.5,12,0.5,27,1
51,10,3,0.74,1.3,9,1.5,27,1
60,10,4,0.94,3.3,7,1.5,53,0
32,8.4,2,0.69,4.7,14,0.5,8,1
30,7.3,4,0.51,4.5,11,1.3,17,1
52,10,10,0.35,3.1,12,0.4,23,1
60,10,6,0.88,4.8,8,0.9,20,0
60,10,4,0.95,3.3,9,1.5,50,0
35,9.1,9,0.75,2.7,10,0.8,19,1
39,10,7,0.74,3.4,15,0.9,8,1
41,10,8,0.37,4.9,13,1.1,18,1
53,10,7,0.97,4.3,6,0.6,37,1
60,10,7,0.84,1.6,14,1.0,19,0
44,10,4,0.8,2.8,11,0.9,20,1
42,10,9,0.6,2.3,6,0.6,21,1
60,10,1,0.32,2.1,14,1.0,19,0
38,10,9,0.6,2.2,9,0.7,24,1
52,10,9,0.9,2.7,15,1.4,33,1
49,10,0,0.74,3.9,7,1.0,12,1
49,10,6,0.93,3.0,5,1.2,36,1
60,10,2,0.88,2.5,6,1.0,35,0
49,10,6,0.58,3.6,8,1.2,15,1
56,10,6,0.73,3.0,15,1.1,11,1
39,10,5,0.82,1.3,13,0.8,26,1
60,10,8,0.36,2.5,11,1.3,30,0
60,10,7,0.79,1.7,11,0.9,36,0
34,9.3,10,0.97,1.1,14,0.3,10,1
52,10,8,0.83,2.6,11,1.2,26,1
53,10,6,0.62,2.1,15,1.0,31,1
58,10,5,0.75,1.7,10,0.4,34,1
47,10,6,0.48,1.2,14,0.7,18,1
33,7.3,7,0.85,4.5,15,0.8,14,1
46,10,1,0.59,3.0,15,1.2,11,1
60,10,7,0.58,1.7,9,0.8,8,0
60,10,5,0.85,1.1,7,0.4,26,0
58,10,8,0.52,2.7,9,0.4,16,1
54,10,0,0.36,4.5,13,0.9,32,1
60,10,4,0.57,1.7,15,0.9,13,0
47,10,4,0.4,4.8,7,0.4,17,1
60,10,4,0.38,5.0,12,0.9,43,0
54,10,10,0.33,3.9,7,0.4,24,1
37,10,0,0.73,3.4,9,0.8,6,1
59,10,9,0.62,2.3,7,0.8,33,1
60,10,10,0.3,1.5,15,1.4,20,0
60,10,2,0.5,3.7,10,0.4,8,0
60,10,7,0.92,4.5,12,0.8,31,0
44,10,4,0.42,5.0,7,1.4,31,1
57,10,6,0.51,1.8,11,1.2,25,1
54,10,5,0.99,4.4,14,0.4,34,1
46,10,7,0.68,4.5,8,1.3,15,1
60,10,2,0.78,2.1,8,1.1,7,0
41,10,2,0.72,4.7,6,1.3,15,1
60,10,0,0.43,3.5,15,1.4,11,0
42,10,5,0.89,3.1,14,0.6,14,1
39,10,1,0.8,1.0,8,1.0,12,1
39,10,10,0.72,1.2,6,0.6,27,1
42,10,5,0.87,2.6,12,1.3,26,1
40,10,5,0.46,1.3,15,1.2,17,1
38,9.1,5,0.75,2.2,14,1.3,13,1
51,10,3,0.64,4.0,6,1.3,26,1
30,8.9,7,0.67,3.3,10,1.1,8,1
60,10,3,0.89,3.7,14,0.8,36,0
34,8.0,6,0.6,1.2,15,1.5,16,1
57,10,4,0.77,2.7,15,1.1,13,1
40,10,5,0.81,2.5,8,0.3,30,1
60,10,7,0.96,5.0,11,0.8,40,0
38,10,0,0.61,1.9,7,0.6,25,1
60,10,0,0.86,1.5,13,1.0,39,0
53,10,2,0.52,1.2,12,0.5,5,1
35,10,8,0.61,4.8,11,0.8,6,1
60,10,5,0.81,3.4,7,1.3,5,0
54,10,2,0.64,4.7,15,0.6,39,1
44,10,2,0.41,4.0,6,0.9,9,1
60,10,2,0.45,4.0,9,1.4,42,0
60,10,0,0.4,3.2,12,0.8,23,0
60,10,10,0.93,3.8,14,0.3,39,0
36,10,1,0.5,2.4,9,1.4,21,1
36,10,2,0.65,2.2,9,0.7,9,1
33,10,8,0.8,3.0,7,0.9,25,1
60,10,7,0.82,4.2,5,0.9,30,0
60,10,7,0.85,3.2,10,1.2,27,0
42,10,1,0.41,1.6,6,0.9,14,1
56,10,5,0.7,3.2,14,0.9,8,1
50,10,0,0.9,3.4,6,1.1,23,1
51,10,7,0.78,2.8,8,0.7,6,1
48,10,7,0.47,3.4,11,0.7,17,1
30,8.7,5,0.58,5.0,9,0.4,8,1
31,9.8,3,0.58,1.1,9,1.2,12,1
44,10,0,0.9,2.0,12,1.2,25,1
53,10,2,0.31,2.1,7,1.3,10,1
37,10,8,0.55,4.0,8,0.5,15,1
54,10,2,0.64,2.0,11,1.4,6,1
43,10,0,0.86,4.4,9,0.5,20,1
60,10,3,0.59,2.7,8,1.1,22,0
31,10,3,0.52,3.7,6,0.6,24,1
54,10,6,0.91,2.9,13,1.0,21,1
31,10,10,0.78,4.0,7,0.6,23,1
48,10,8,0.96,4.0,11,0.8,6,1
60,10,1,0.43,4.2,5,1.2,27,0
35,9.8,5,0.5,3.8,10,0.8,7,1
60,10,4,0.95,1.6,10,1.1,9,0
34,8.8,3,0.67,2.2,13,1.4,11,1
49,10,4,0.96,4.1,8,0.5,32,1
60,10,8,0.64,3.5,6,0.7,38,0
59,10,1,0.59,4.7,10,1.4,34,1
37,10,8,0.4,1.5,6,1.4,30,1
42,10,6,0.31,2.6,14,1.1,16,1
54,10,4,0.87,1.7,7,1.2,11,1
39,10,7,0.56,3.1,14,0.9,18,1
40,10,8,0.34,2.8,11,1.1,19,1
30,8.6,10,0.43,1.4,10,0.4,6,1
60,10,6,0.84,1.0,5,0.9,26,0
38,9.3,10,0.98,2.7,14,0.6,13,1
52,10,7,0.66,4.8,9,0.6,23,1
60,10,2,0.47,2.3,6,0.5,16,0
60,10,1,0.72,3.7,9,0.8,13,0
60,10,5,0.67,2.4,6,1.1,47,0
60,10,2,0.55,1.3,5,1.1,34,0
30,6.7,8,0.61,2.2,15,1.4,6,1
42,10,1,0.36,4.6,8,1.2,32,1
47,10,3,0.85,1.0,8,0.5,27,1
44,10,4,0.49,2.0,11,0.9,7,1
56,10,3,0.72,2.9,15,1.4,39,1
60,10,6,0.3,4.6,12,1.0,11,0
37,10,4,0.96,1.8,7,0.9,28,1
60,10,3,0.42,4.9,15,0.7,19,0
58,10,4,0.73,4.5,11,0.7,5,1
35,10,3,0.89,3.1,5,0.6,6,1
60,10,8,0.89,4.9,11,0.8,23,0
58,10,3,0.91,5.0,15,0.5,18,1
33,10,7,0.62,4.0,6,1.2,19,1
53,10,7,0.32,3.0,5,0.5,6,1
55,10,4,0.99,2.7,5,0.7,50,1
50,10,9,0.75,4.1,8,0.6,7,1
35,10,4,0.84,4.7,8,1.5,25,1
30,9.4,4,0.78,1.4,9,1.2,6,1
36,10,4,0.71,1.6,13,0.6,15,1
35,10,5,0.78,1.3,6,1.2,5,1
60,10,5,0.96,2.3,7,1.4,29,0
59,10,4,0.67,1.0,13,0.4,5,1
35,10,2,0.81,2.3,8,0.7,16,1
47,10,10,0.92,3.8,5,0.4,14,1
46,10,8,0.47,3.9,14,0.8,22,1
51,10,5,0.58,4.8,13,1.0,12,1
42,10,2,0.49,3.7,10,0.5,9,1
51,10,4,0.48,4.6,5,1.1,13,1
55,10,4,0.9,1.7,13,0.4,34,1
60,10,1,0.58,3.9,6,1.1,29,0
54,10,10,0.64,2.7,13,1.1,10,1
60,10,4,0.5,2.6,14,0.5,39,0
39,10,2,0.86,4.6,15,0.5,14,1
38,9.5,1,0.73,2.5,15,0.9,15,1
60,10,2,0.97,3.5,11,0.6,36,1
60,10,3,0.38,3.9,9,0.8,27,0
60,10,0,0.31,2.6,12,1.0,42,0
39,10,5,0.56,2.9,13,1.0,5,1
48,10,2,0.71,4.4,7,1.1,35,1
35,10,6,0.7,2.9,5,0.9,6,1
31,8.3,0,0.56,2.8,13,0.7,13,1
32,8.2,5,0.82,2.1,14,0.4,17,1
46,10,2,0.77,2.9,9,0.8,11,1
60,10,2,0.93,2.1,9,0.5,49,0
44,10,4,0.53,1.8,10,0.7,34,1
47,10,7,0.39,1.7,9,1.4,34,1
44,10,5,0.78,4.7,10,0.8,26,1
60,10,2,0.61,4.0,14,1.2,22,0
41,10,3,0.82,4.4,13,0.8,12,1
60,10,5,0.66,4.7,9,0.9,31,0
54,10,2,0.37,1.9,10,0.9,7,1
47,10,6,0.32,3.4,13,1.0,7,1
56,10,1,0.35,3.9,12,0.5,24,1
59,10,9,0.88,1.9,9,1.4,17,1
38,10,8,0.56,4.9,14,1.4,7,1
53,10,9,0.79,3.5,15,0.5,20,1
31,7.5,10,0.48,2.8,14,0.4,11,1
58,10,4,0.68,3.1,14,1.3,40,1
42,10,8,0.79,3.1,5,1.1,36,1
56,10,7,0.97,1.5,5,0.5,24,1
60,10,10,0.6,2.7,13,0.6,10,0
53,10,3,0.55,2.9,15,1.3,7,1
40,10,0,0.74,1.3,6,1.4,21,1
46,10,10,0.74,3.6,13,0.4,27,1
40,10,2,0.32,2.2,12,1.4,12,1
32,9.2,6,0.63,4.6,13,1.1,18,1
50,10,9,0.83,1.6,14,0.6,21,1
47,10,7,0.4,2.1,11,0.6,16,1
41,10,10,0.43,3.9,7,0.5,27,1
30,6.1,1,0.35,3.9,14,1.1,14,1
46,10,1,0.31,4.0,10,1.2,21,1
57,10,3,0.36,4.3,6,0.3,18,1
60,10,8,0.62,3.4,7,1.2,39,0
60,10,5,0.68,2.3,13,1.4,6,0
35,10,2,0.56,4.2,9,0.6,13,1
60,10,10,0.52,1.7,15,1.3,40,0
37,10,10,0.44,3.7,10,1.3,9,1
52,10,3,0.53,4.6,10,0.9,34,1
54,10,10,0.46,3.8,8,1.4,12,1
53,10,8,0.76,1.5,8,0.9,25,1
60,10,3,0.59,1.3,15,1.2,36,1
48,10,10,0.58,4.5,5,1.0,31,1
51,10,5,0.81,3.7,11,1.3,14,1
33,8.6,3,0.66,1.6,11,1.5,20,1
33,10,10,0.54,4.6,8,0.7,23,1
50,10,8,0.71,2.9,9,1.5,28,1
43,10,6,0.49,3.7,8,1.1,32,1
35,10,4,0.55,1.7,5,1.1,15,1
55,10,1,0.95,4.3,10,0.9,7,1
60,10,9,0.38,1.1,10,1.2,29,0
57,10,7,0.72,1.6,5,1.0,6,1
38,9.1,9,0.42,4.5,15,1.0,12,1
44,10,10,0.36,3.4,15,1.2,22,1
56,10,0,0.9,2.3,11,0.7,34,1
51,10,2,0.94,1.0,9,0.5,10,1
58,10,4,0.37,4.3,11,0.5,46,1
35,9.7,0,0.35,4.2,12,1.0,9,1
52,10,2,0.39,1.8,14,1.3,31,1
36,10,5,0.73,1.0,13,1.4,19,1
42,10,6,0.33,2.4,11,0.8,6,1
47,10,9,0.31,2.1,14,0.3,24,1
42,10,7,0.82,3.2,10,1.3,25,1
41,10,9,0.94,4.0,8,0.8,27,1
30,7.4,9,0.72,2.3,11,0.5,18,1
60,10,10,0.33,4.6,11,0.3,26,0
55,10,0,0.74,3.7,5,1.2,7,1
48,10,3,0.39,3.8,13,0.9,22,1
60,10,3,0.82,1.4,14,1.0,31,1
39,10,0,0.71,2.6,11,0.6,25,1
59,10,0,0.77,1.7,9,0.8,25,1
50,10,4,0.96,1.9,14,1.3,23,1
43,10,4,0.41,1.1,14,1.1,9,1
50,10,10,0.58,3.9,14,0.8,16,1
51,10,1,0.37,1.2,6,0.6,12,1
53,10,6,0.87,2.3,5,0.5,21,1
60,10,0,0.84,3.3,12,0.8,38,0
45,10,10,0.94,1.5,9,1.1,15,1
52,10,1,0.33,4.1,11,1.4,16,1
42,10,0,0.83,2.8,7,0.7,18,1
60,10,0,0.3,4.8,6,0.7,24,0
60,10,4,0.41,4.4,8,0.6,46,0
54,10,2,0.58,3.1,14,0.7,26,1
60,10,8,0.46,1.2,7,1.4,39,0
51,10,6,0.33,2.1,10,1.3,16,1
43,10,5,0.69,4.1,11,0.8,16,1
43,10,0,0.92,2.0,14,1.0,18,1
54,10,4,0.78,3.2,12,1.3,15,1
56,10,3,0.42,4.9,6,1.3,19,1
60,10,2,0.8,2.8,9,0.5,14,0
60,10,6,0.88,2.0,13,1.5,27,0
31,10,1,0.5,2.7,7,0.7,18,1
60,10,10,0.92,2.8,11,1.5,12,0
41,10,5,0.81,4.9,5,1.0,19,1
35,10,1,0.33,1.3,7,0.3,22,1
32,7.7,3,0.36,4.0,14,0.7,15,1
31,7.1,10,0.91,4.5,15,1.0,9,1
50,10,3,0.69,1.5,12,0.3,36,1
33,10,9,0.86,2.7,10,1.5,6,1
35,10,5,0.33,3.7,10,1.5,16,1
35,9.3,7,0.7,2.1,12,1.0,20,1
60,10,10,0.32,1.1,6,1.1,28,0
41,10,7,0.56,2.1,13,1.0,11,1
59,10,5,0.51,2.7,5,1.4,44,1
